n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
10 1 29093 4497 1 0.000046 
10 2 24529 4497 2 0.000043 
10 3 15026 4497 2 0.000044 
10 4 13441 4497 2 0.000042 
10 5 26930 4497 2 0.000054 
10 6 28878 4497 2 0.000047 
10 7 18178 4497 2 0.000046 
10 8 29637 4497 2 0.000047 
10 9 10466 4497 3 0.000072 
10 10 8011 4497 3 0.000066 
10 11 3595 4497 3 0.000141 
10 12 9986 4497 2 0.000044 
10 13 27863 4497 2 0.000057 
10 14 9728 4497 2 0.000061 
10 15 28757 4497 3 0.000072 
10 16 21257 4497 2 0.000064 
11 1 14837 3 2 0.000070 
11 2 21075 3 1 0.000060 
11 3 24672 3 2 0.000054 
11 4 949 3 2 0.000058 
11 5 16295 3 2 0.000057 
11 6 11870 3 2 0.000073 
11 7 26470 3 2 0.000055 
11 8 27916 3 2 0.000055 
11 9 15169 3 2 0.000090 
11 10 29060 3 3 0.000066 
11 11 2773 3 2 0.000056 
11 12 13108 3 2 0.000058 
11 13 16806 3 2 0.000060 
11 14 28627 3 2 0.000054 
11 15 27963 3 3 0.000059 
11 16 23831 3 3 0.000085 
12 1 19042 2972 1 0.000073 
12 2 26220 2972 2 0.000070 
12 3 13761 2972 1 0.000069 
12 4 5542 2972 2 0.000071 
12 5 17131 2972 1 0.000070 
12 6 29710 2972 2 0.000067 
12 7 11212 2972 2 0.000067 
12 8 9750 2972 2 0.000113 
12 9 23682 2972 2 0.000066 
12 10 23043 2972 2 0.000067 
12 11 1562 2972 2 0.000071 
12 12 22947 2972 2 0.000089 
12 13 14297 2972 2 0.000071 
12 14 26162 2972 3 0.000068 
12 15 533 2972 3 0.000095 
12 16 28951 2972 3 0.000079 
13 1 88 15027 2 0.000079 
13 2 21868 15027 1 0.000078 
13 3 27871 15027 2 0.000091 
13 4 15605 15027 2 0.000075 
13 5 21112 15027 2 0.000078 
13 6 29803 15027 3 0.000116 
13 7 17896 15027 2 0.000097 
13 8 22887 15027 3 0.000296 
13 9 27097 15027 2 0.000075 
13 10 2280 15027 2 0.000077 
13 11 13840 15027 2 0.000077 
13 12 16715 15027 2 0.000079 
13 13 5664 15027 2 0.000087 
13 14 19271 15027 3 0.000092 
13 15 11144 15027 2 0.000076 
13 16 18139 15027 3 0.000095 
14 1 14956 19157 2 0.000089 
14 2 14020 19157 2 0.000090 
14 3 19832 19157 2 0.000117 
14 4 18596 19157 2 0.000086 
14 5 1019 19157 3 0.001142 
14 6 6584 19157 2 0.000088 
14 7 3380 19157 2 0.000167 
14 8 16056 19157 2 0.000121 
14 9 24243 19157 2 0.000114 
14 10 19487 19157 2 0.000095 
14 11 846 19157 2 0.000090 
14 12 26299 19157 2 0.000091 
14 13 17912 19157 3 0.000129 
14 14 5692 19157 3 0.000096 
14 15 11973 19157 2 0.000105 
14 16 6404 19157 3 0.000106 
15 1 19315 27378 2 0.000106 
15 2 7109 27378 2 0.000108 
15 3 18727 27378 2 0.000119 
15 4 12543 27378 2 0.000107 
15 5 22325 27378 2 0.000108 
15 6 10458 27378 2 0.000107 
